Organisation Name,Organisation Website,Organisation Address,Organisation Languages,Organisation Services,Organisation Google Map,Organisation Details
,,,,[],,
A & O: Support Services for Older Adults,https://www.aosupportservices.ca/,"207 Donald Street, Unit 200",English,"['General settlement help', 'Help connecting with the local community', 'Services available online', 'General language training', 'Informal language learning', 'Services for seniors']",http://maps.google.com/maps?q=207%20Donald%20Street%2C%20Unit%20200%20Winnipeg%20Manitoba%20Canada,"Winnipeg, ManitobaR3C 1K2Telephone: 204-956-6440Languages of service: English/General settlement helpHelp connecting with the local communityServices available onlineGeneral language trainingInformal language learningServices for seniors"
Accès Emploi Alberta - Central Office,https://accesemploi.net/en/home/,"8627 91 Street, Unit 202","French, Arabic, Kinyarwanda, Kirundi, Lingala, other African languages, Swahili","['Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Job-specific language training', 'Informal language learning', 'Services for French speakers']",http://maps.google.com/maps?q=8627%2091%20Street%2C%20Unit%20202%20Edmonton%20Alberta%20Canada,"Edmonton, AlbertaT6C 3N1Telephone: 780-490-6975Languages of service: French, Arabic, Kinyarwanda, Kirundi, Lingala, other African languages, Swahili/Get a settlement planHelp connecting with the local communityServices available onlineHelp finding a jobJob-specific language trainingInformal language learningServices for French speakers"
Accès Emploi Alberta - North Edmonton Office,https://accesemploi.net/en/home/,"9499 137 Avenue NorthWest, Unit 2004","French, Arabic, Kinyarwanda, Kirundi, Lingala, Swahili","['Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Job-specific language training', 'Informal language learning', 'Services for French speakers']",http://maps.google.com/maps?q=9499%20137%20Avenue%20NorthWest%2C%20Unit%202004%20Edmonton%20Alberta%20Canada,"Edmonton, AlbertaT5E 5R8Telephone: 780-490-6975Languages of service: French, Arabic, Kinyarwanda, Kirundi, Lingala, Swahili/Get a settlement planHelp connecting with the local communityServices available onlineHelp finding a jobJob-specific language trainingInformal language learningServices for French speakers"
Accès Emploi Alberta - Red Deer Office,https://accesemploi.net/en/home/,"4915 54 Street, Unit 309","French, Arabic, Kinyarwanda, Kirundi, Lingala, Swahili","['Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Job-specific language training', 'Informal language learning', 'Services for French speakers']",http://maps.google.com/maps?q=4915%2054%20Street%2C%20Unit%20309%20Red%20Deer%20Alberta%20Canada,"Red Deer, AlbertaT4N 2G7Telephone: 780-490-6975Languages of service: French, Arabic, Kinyarwanda, Kirundi, Lingala, Swahili/Get a settlement planHelp connecting with the local communityServices available onlineHelp finding a jobJob-specific language trainingInformal language learningServices for French speakers"
Access Alliance Multicultural Health and Community Services,https://accessalliance.ca/,"340 College Street, Suite 500",English,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Informal language learning']",http://maps.google.com/maps?q=340%20College%20Street%2C%20Suite%20500%20Toronto%20Ontario%20Canada,"Toronto, OntarioM5T 3A9Telephone: 416-324-8677Languages of service: English/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobInformal language learning"
Access Alliance Multicultural Health and Community Services - AccessPoint on Danforth,https://accessalliance.ca/,3079 Danforth Avenue,English,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Informal language learning', 'Services for women']",http://maps.google.com/maps?q=3079%20Danforth%20Avenue%20%20Scarborough%20Ontario%20Canada,"Scarborough, OntarioM1L 1A8Telephone: 416-324-8677Languages of service: English/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobInformal language learningServices for women"
Access Alliance Multicultural Health and Community Services - AccessPoint on Jane,https://accessalliance.ca/,"761 Jane Street, Floor 2",English,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Informal language learning']",http://maps.google.com/maps?q=761%20Jane%20Street%2C%20Floor%202%20York%20Ontario%20Canada,"York, OntarioM6N 4B4Telephone: 416-324-8677Languages of service: English/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobInformal language learning"
ACCESS Community Capital Fund,https://accessccf.com/,wba@accessccf.com,English,"['Get a settlement plan', 'Services available online', 'Services for women']",mailto:wba@accessccf.com,"Toronto, OntarioTelephone: 416-462-0496Languages of service: English/Get a settlement planServices available onlineServices for women"
Accessible Community Counselling and Employment Services (ACCES) - ACCES Brampton,https://accesemployment.ca/,"44 Peel Centre Drive, Suite 201","English, Arabic, Cantonese, Thai","['Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'Services for women']",http://maps.google.com/maps?q=44%20Peel%20Centre%20Drive%2C%20Suite%20201%20Brampton%20Ontario%20Canada,"Brampton, OntarioL6T 4B5Telephone: 905-454-2316Languages of service: English, Arabic, Cantonese, Thai/Services available onlineHelp finding a jobHelp getting a licence or certification in a regulated professionServices for women"
Accessible Community Counselling and Employment Services (ACCES) - ACCES Employment Brampton,https://accesemployment.ca/,"44 Peel Centre Drive, Suite 201",English,"['Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession']",http://maps.google.com/maps?q=44%20Peel%20Centre%20Drive%2C%20Suite%20201%20Brampton%20Ontario%20Canada,"Brampton, OntarioL6T 4B5Telephone: 905-454-2316Languages of service: English/Services available onlineHelp finding a jobHelp getting a licence or certification in a regulated profession"
Accessible Community Counselling and Employment Services (ACCES) - ACCES Employment Mississauga,https://accesemployment.ca/,"2085 Hurontario Street, Suite 210",English,"['Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession']",http://maps.google.com/maps?q=2085%20Hurontario%20Street%2C%20Suite%20210%20Mississauga%20Ontario%20Canada,"Mississauga, OntarioL5A 4G1Telephone: 905-361-2522Languages of service: English/Services available onlineHelp finding a jobHelp getting a licence or certification in a regulated profession"
Accessible Community Counselling and Employment Services (ACCES) - ACCES Employment North York,https://accesemployment.ca/,"2001 Sheppard Avenue East, Suite 201",English,"['Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession']",http://maps.google.com/maps?q=2001%20Sheppard%20Avenue%20East%2C%20Suite%20201%20North%20York%20Ontario%20Canada,"North York, OntarioM2J 4Z8Telephone: 416-443-9008Languages of service: English/Services available onlineHelp finding a jobHelp getting a licence or certification in a regulated profession"
Accessible Community Counselling and Employment Services (ACCES) - ACCES Employment Scarborough,https://accesemployment.ca/,"2100 Ellesmere Road, Suite 250",English,"['Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession']",http://maps.google.com/maps?q=2100%20Ellesmere%20Road%2C%20Suite%20250%20Scarborough%20Ontario%20Canada,"Scarborough, OntarioM1H 3B7Telephone: 416-431-5326Languages of service: English/Services available onlineHelp finding a jobHelp getting a licence or certification in a regulated profession"
Accessible Community Counselling and Employment Services (ACCES) - ACCES Employment Toronto,https://accesemployment.ca/,"489 College Street, Suite 100",English,"['Get a settlement plan', 'Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'Services for refugees']",http://maps.google.com/maps?q=489%20College%20Street%2C%20Suite%20100%20Toronto%20Ontario%20Canada,"Toronto, OntarioM6G 1A5Telephone: 416-921-1800Languages of service: English/Get a settlement planServices available onlineHelp finding a jobHelp getting a licence or certification in a regulated professionServices for refugees"
Accessible Community Counselling and Employment Services (ACCES) - ACCES Markham,https://accesemployment.ca/,"8500 Leslie Street, Suite 470","English, Bengali, Hindi, Punjabi, Spanish, Tamil, Ukrainian, Urdu","['Help connecting with the local community', 'Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'Job-specific language training', 'Services for women']",http://maps.google.com/maps?q=8500%20Leslie%20Street%2C%20Suite%20470%20Markham%20Ontario%20Canada,"Markham, OntarioL3T 7M8Telephone: 905-840-2660Languages of service: English, Bengali, Hindi, Punjabi, Spanish, Tamil, Ukrainian, Urdu/Help connecting with the local communityServices available onlineHelp finding a jobHelp getting a licence or certification in a regulated professionJob-specific language trainingServices for women"
Accessible Community Counselling and Employment Services (ACCES) - ACCES Mississauga,https://accesemployment.ca/,"2085 Hurontario Street, Suite 210","English, French, Bengali, Cantonese, Croatian, Hindi, Italian, Punjabi, Romanian, Russian, Serbian, Spanish, Urdu","['Help connecting with the local community', 'Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'Job-specific language training', 'Services for women']",http://maps.google.com/maps?q=2085%20Hurontario%20Street%2C%20Suite%20210%20Mississauga%20Ontario%20Canada,"Mississauga, OntarioL5A 4G1Telephone: 905-361-2522Languages of service: English, French, Bengali, Cantonese, Croatian, Hindi, Italian, Punjabi, Romanian, Russian, Serbian, Spanish, Urdu/Help connecting with the local communityServices available onlineHelp finding a jobHelp getting a licence or certification in a regulated professionJob-specific language trainingServices for women"
Accessible Community Counselling and Employment Services (ACCES) - ACCES North York,https://accesemployment.ca,"2001 Sheppard Avenue East, Suite 201","English, French, Bengali, Cantonese, Croatian, Hindi, Mandarin, Persian, Punjabi, Romanian, Urdu","['Help connecting with the local community', 'Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'Job-specific language training', 'Services for women']",http://maps.google.com/maps?q=2001%20Sheppard%20Avenue%20East%2C%20Suite%20201%20North%20York%20Ontario%20Canada,"North York, OntarioM2J 4Z8Telephone: 416-443-9008Languages of service: English, French, Bengali, Cantonese, Croatian, Hindi, Mandarin, Persian, Punjabi, Romanian, Urdu/Help connecting with the local communityServices available onlineHelp finding a jobHelp getting a licence or certification in a regulated professionJob-specific language trainingServices for women"
Accessible Community Counselling and Employment Services (ACCES) - ACCES Toronto,https://accesemployment.ca,"489 College Street, Suite 100","English, French, Bengali, Hindi, Persian, Polish, Punjabi, Serbian, Tamil, Ukrainian, Urdu","['Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'Job-specific language training', 'Services for women']",http://maps.google.com/maps?q=489%20College%20Street%2C%20Suite%20100%20Toronto%20Ontario%20Canada,"Toronto, OntarioM6G 1A5Telephone: 416-921-1800Languages of service: English, French, Bengali, Hindi, Persian, Polish, Punjabi, Serbian, Tamil, Ukrainian, Urdu/Get a settlement planHelp connecting with the local communityServices available onlineHelp finding a jobHelp getting a licence or certification in a regulated professionJob-specific language trainingServices for women"
