Organisation Name,Phone,Languages,Googlemaps Address,Website,Address
ABL  Accès Accueil Action,Tel. :  514 570-3313,"Français, Anglais, Espagnol, Portugais",https://maps.app.goo.gl/DvhX1rvEzepHEFmw9,https://www.abl-immigration.org,"ABL  Accès Accueil Action 6, rue de l’Église, 3e étage Sainte-Thérèse (Laurentides) J7E 3L1 Tel. :  514 570-3313"
ABL Accès Accueil Action Basses-Laurentides,Tel. :  514 570-3313,"Français, Anglais, Espagnol, Arabe, Berbère, Portugais, Russe, Ukrainien, Roumain, Batoufam, Bankondji","https://www.google.ca/maps/place/184+Rue+Saint-Eustache,+Saint-Eustache,+QC+J7R+2L7/@45.5582506,-73.8959556,17z/data=!3m1!4b1!4m6!3m5!1s0x4cc9257e00a9ea8b:0xb751762efa731301!8m2!3d45.5582469!4d-73.8937669!16s%2Fg%2F11b8v6l0xx",https://www.abl-immigration.org,"ABL Accès Accueil Action Basses-Laurentides 184, rue Saint-Eustache Saint-Eustache (Laurentides) J7R 2L7 Tel. :  514 570-3313"
Accompagnement des Femmes Immigrantes de L'Outaouais (AFIO),Tel. :  819 776-6764,"Français, Anglais, Arabe, Lingala, Créole, Kikongo, Tamoul, Allemand, Espagnol, Farsi, Swahili","http://maps.google.ca/maps?q=109, rue Wright, local 009 Gatineau, Québec J8X2G7",https://www.afio.ca,"Accompagnement des Femmes Immigrantes de L'Outaouais (AFIO) 109, rue Wright Gatineau (Outaouais) J8X 2G7 Tel. :  819 776-6764 Fax :  819 776-5617"
Accueil aux Immigrants de l'Est de Montréal (Pointe-Aux-Trembles),Tel. :  514 788-4343,"Français, Anglais, Espagnol","https://www.google.com/maps/place/14115+Rue+Prince-Arthur,+Pointe-aux-Trembles,+QC+H1A+1A8/@45.6710556,-73.5118366,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc8e17d2a88bb97:0x957eec1445664b6e!8m2!3d45.6710556!4d-73.5096479",https://www.aiemont.com,"Accueil aux Immigrants de l'Est de Montréal (Pointe-Aux-Trembles) 14115, rue Prince-Arthur Montréal (Montréal) H1A 1A8 Tel. :  514 788-4343 Fax :  514 723-3619"
Accueil aux Immigrants de l'Est de Montréal (Rivière-Des-Prairies),Tel. :  514 872-0107,"Français, Anglais, Espagnol, Créole","https://www.google.com/maps/place/9001+Boulevard+Perras,+Montr%C3%A9al,+QC+H1E+3J7/@45.6497644,-73.5811602,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc8e034333e644f:0x161b89fbffa7892e!8m2!3d45.6497644!4d-73.5789715",https://www.aiemont.com,"Accueil aux Immigrants de l'Est de Montréal (Rivière-Des-Prairies) 9001, boulevard Perras Montréal (Montréal) H1E 3J7 Tel. :  514 872-0107 Fax :  514 723-3619"
Accueil aux Immigrants de l'Est de Montréal (St-Léonard),Tel. :  514 723-4939,"Français, Anglais, Espagnol, Arabe, Maroc et International), Kabyle, Créole, Polonais, Langues africaines (Peul, Wolof, Soussou, Malinké, Fon, Moré, Mossi)","http://maps.google.ca/maps?q=5960, rue Jean-Talon, bureau 209 Montréal, Québec H1S1M2",https://www.aiemont.com,"Accueil aux Immigrants de l'Est de Montréal (St-Léonard) 5960, rue Jean-Talon Est Montréal (Montréal) H1S 1M2 Tel. :  514 723-4939 Fax :  514 723-3619"
Accueil et Intégration BSL Inc.,Tel. :  581 824-1662,"Français, Anglais, Espagnol, Swahili, Créole, Lingala, Arabe, Wolof, Sango, Swahili, Vietnamien",https://goo.gl/maps/aVGBK6yDLvEWarG1A,https://www.aibsl.org,"Accueil et Intégration BSL Inc. 192, rue Saint-Germain Est Rimouski (Bas-Saint-Laurent) G5L 1A8 Tel. :  581 824-1662 Fax :  418 730-6737"
Accueil pour Immigrants et Réfugiés Du Sud-ouest de Montréal Centre PRISME,Tel. :  514 364-0939,"Français, Anglais, Espagnol, Serbe, Russe, Punjabi, Arabe, Bulgare, Moldave, Hindi","http://maps.google.ca/maps?q=414, rue Lafleur, bureau 1.10 Montréal, Québec H8R3H6",https://www.airsomprisme.org,"Accueil pour Immigrants et Réfugiés Du Sud-ouest de Montréal Centre PRISME 110-414, avenue Lafleur Montréal (Montréal) H8R 3H6 Tel. :  514 364-0939 Fax :  514 364-9992"
Accueil-Parrainage Outaouais,Tel. :  819 777-2960,"Français, Anglais, Espagnol, Swahili, Italien, Dari, Kirundi, Croate, Farsi","http://maps.google.ca/maps?q=124, rue Jeanne-d'Arc Gatineau, Québec J8Y2H7",https://www.apo-qc.org,"Accueil-Parrainage Outaouais 124, rue Jeanne-d'Arc Gatineau (Outaouais) J8Y 2H7 Tel. :  819 777-2960 Fax :  819 777-1739"
Action Famille Lavaltrie Inc.,Tel. :  450 586-0733,"Français, Anglais, Espagnol","https://www.google.com/maps/place/1725+Rue+Notre-Dame,+Lavaltrie,+QC+J5T+1S2/@45.8895066,-73.2756909,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc8ed59e35b9ff7:0x3393826508eacfc0!8m2!3d45.8895066!4d-73.2735021",https://www.actionfamillelavaltrie.org,"Action Famille Lavaltrie Inc. 1725, rue Notre-Dame Lavaltrie (Lanaudière) J5T 1S2 Tel. :  450 586-0733"
